id,start_time,end_time,lat,lon,median_distance_km,median_speed_knots,vessel_1_id,vessel_1_type,vessel_1_tileset,vessel_2_id,vessel_2_type,vessel_2_tileset
id--2646592169689204244,2012-11-04 04:40:00 UTC,2012-11-04 08:10:00 UTC,-26.424862550999997,38.99789699995,0.0230952205,0.5623227383,9ce4d61b-394f-c237-44ae-a3d9754c4a06,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-5c9e-cd2b164e933,reefers,gfw-tasks-658-reefer-uvi-v2
id--4269406935915914829,2012-04-08 09:50:00 UTC,2012-04-08 11:50:00 UTC,55.015555158149994,155.50893064705002,0.1037106472,0.04290109235,9ce4d61b-394f-c237-adf3-210fc279f855,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f642-cf4217abc590,reefers,gfw-tasks-658-reefer-uvi-v2
id--2581720597411494012,2012-03-19 00:30:00 UTC,2012-03-19 02:30:00 UTC,-46.705043898349992,-60.26626629385,0.048038613,1.3270865191499999,9ce4d61b-394f-c237-78c2-519d80d96c39,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-8726-247300f953ae,reefers,gfw-tasks-658-reefer-uvi-v2
id--1134172969814421231,2012-06-20 08:30:00 UTC,2012-06-20 10:40:00 UTC,56.2481646196,163.90102534535,0.0237869258,0.41329989125,9ce4d61b-394f-c237-ab13-58b09ef99be0,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-e517-3742fafbaa9e,reefers,gfw-tasks-658-reefer-uvi-v2
id-3368392149314155477,2012-05-08 21:00:00 UTC,2012-05-09 00:30:00 UTC,58.7181486139,-157.0070403534,0.3952720247,0.0058047977,9ce4d61b-394f-c237-e9c2-1334732870ff,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f3ac-e8529f3ef01d,reefers,gfw-tasks-658-reefer-uvi-v2
id--1813704185323118697,2012-03-04 13:20:00 UTC,2012-03-05 00:20:00 UTC,77.524306457839813,14.688138992341594,0.03855452965,0.00227988715,9ce4d61b-394f-c237-9b7d-54bb022966a,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-9fca-ee29c8212b9c,reefers,gfw-tasks-658-reefer-uvi-v2
id-1463218741860825284,2012-12-17 13:00:00 UTC,2012-12-17 18:30:00 UTC,-15.441514151894443,-80.144931857327776,0.0739500412,0.55794791184999992,9ce4d61b-394f-c237-5724-2896ea74f0f9,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-ba2e-7ae3fe1eaef6,reefers,gfw-tasks-658-reefer-uvi-v2
id--1482598435598923709,2012-07-01 22:20:00 UTC,2012-07-02 01:00:00 UTC,58.71880051137142,-157.00441854794286,0.2847922794,0.0062364433,9ce4d61b-394f-c237-bf07-7ae9b6b70125,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f0f3-69423e461d26,reefers,gfw-tasks-658-reefer-uvi-v2
id-2957919685185210444,2012-07-29 20:50:00 UTC,2012-07-29 23:00:00 UTC,-0.87021825105000006,170.48501719154999,0.0367606972,0.73707448209999993,9ce4d61b-394f-c237-7861-ff1bc6c163ad,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-d30c-233e6059cd4c,reefers,gfw-tasks-658-reefer-uvi-v2
id-1413452161241010169,2012-08-20 05:20:00 UTC,2012-08-20 07:20:00 UTC,-19.4197568401,-124.8027797092,0.1752366338,1.6619056081,9ce4d61b-394f-c237-289c-0f06f8117faf,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6f6f-a5ef10ad3d4f,reefers,gfw-tasks-658-reefer-uvi-v2
